,first 500 eigenvalues
298,(901.5118252297791+0j)
299,(898.4238110909297+0j)
300,(896.5105900408275+0j)
301,(896.0499766427242+0j)
302,(892.6945033855151+0j)
303,(891.2323869414889+0j)
304,(890.3523698883135+0j)
305,(889.1314473751949+0j)
306,(887.6948901483174+0j)
307,(884.9785517222831+0j)
308,(883.0171289257254+0j)
309,(882.3939860950303+0j)
310,(881.8810920736422+0j)
311,(880.6871722214893+0j)
312,(876.8388194022428+0j)
313,(876.346232956641+0j)
314,(875.1513210832518+0j)
315,(873.5812175895952+0j)
316,(872.3485272058182+0j)
317,(871.990280146287+0j)
318,(870.358448700971+0j)
319,(868.6859465750039+0j)
320,(867.83521192632+0j)
321,(865.4687287834944+0j)
322,(862.5063154532193+0j)
323,(860.9200962378977+0j)
324,(859.5231125827681+0j)
325,(857.5461178721033+0j)
326,(856.3446798361083+0j)
327,(855.4385563063369+0j)
328,(854.3462347343894+0j)
329,(852.8654738642167+0j)
330,(849.8033908751648+0j)
331,(848.5535435084121+0j)
332,(846.8809265320045+0j)
333,(846.4442317588085+0j)
334,(844.2018137920666+0j)
335,(842.6709393294653+0j)
336,(841.6958577729243+0j)
337,(839.5769891230065+0j)
338,(839.5476978472001+0j)
339,(837.1572199756074+0j)
340,(835.3560075627241+0j)
341,(833.9519293935762+0j)
342,(832.6358992154207+0j)
343,(831.3563045523468+0j)
344,(829.6221308599688+0j)
345,(827.710587977011+0j)
346,(826.1755026524103+0j)
347,(824.4072917498349+0j)
348,(823.8191386372339+0j)
349,(822.2232500082179+0j)
350,(820.3138623579321+0j)
351,(818.2648864437626+0j)
352,(818.0554957988609+0j)
353,(816.585891273669+0j)
354,(814.7281621166593+0j)
355,(813.2854740938549+0j)
356,(811.5491565947249+0j)
357,(810.5130535569994+0j)
358,(810.0016359107409+0j)
359,(807.7735232004063+0j)
360,(807.1912956621511+0j)
361,(805.7052060741868+0j)
362,(805.5352914237119+0j)
363,(803.5107663106735+0j)
364,(802.8899595272005+0j)
365,(800.5521404047596+0j)
366,(799.3078273441953+0j)
367,(797.4413049562022+0j)
368,(796.0662372850798+0j)
369,(795.7620687144889+0j)
370,(793.5269939963287+0j)
371,(792.4816617392254+0j)
372,(790.9593752417953+0j)
373,(790.6914162216112+0j)
374,(788.2771384713058+0j)
375,(787.4893177745013+0j)
376,(785.5082197388641+0j)
377,(784.4918641949745+0j)
378,(783.2165082147825+0j)
379,(781.8544496012121+0j)
380,(780.5552185278254+0j)
381,(779.9458813591751+0j)
382,(778.1911834654867+0j)
383,(776.3816180710779+0j)
384,(775.5737561870213+0j)
385,(774.5256422669588+0j)
386,(772.7911613026708+0j)
387,(772.6206145349847+0j)
388,(771.7149754230276+0j)
389,(769.7486101050782+0j)
390,(767.9434475109389+0j)
391,(767.5926078741209+0j)
392,(764.4493769953832+0j)
393,(764.357469709396+0j)
394,(763.776334641342+0j)
395,(763.5073157355276+0j)
396,(760.5577408134909+0j)
397,(759.6750410668408+0j)
398,(758.4045897476128+0j)
399,(758.102244755072+0j)
400,(756.0224834370932+0j)
401,(755.160100057273+0j)
402,(754.7915029253877+0j)
403,(752.3181855123846+0j)
404,(751.7086767843183+0j)
405,(750.363794515657+0j)
406,(749.212116655491+0j)
407,(749.6298392031988+0j)
408,(747.3059931042128+0j)
409,(744.9618844225761+0j)
410,(743.6554983410074+0j)
411,(742.0875765950408+0j)
412,(741.6936869905452+0j)
413,(741.2146670990173+0j)
414,(739.4556239873687+0j)
415,(738.6137031916523+0j)
416,(736.7328355981559+0j)
417,(736.3677627180253+0j)
418,(735.1056563960799+0j)
419,(734.8702750102328+0j)
420,(733.8441149375909+0j)
421,(731.7974803429196+0j)
422,(731.6092678899251+0j)
423,(729.6665714889439+0j)
424,(728.673544028256+0j)
425,(727.9497744645163+0j)
426,(727.3662829263117+0j)
427,(726.6064298900313+0j)
428,(725.3330440995716+0j)
429,(724.2590085266862+0j)
430,(723.2046633782863+0j)
431,(722.6260085274088+0j)
432,(721.3483336880612+0j)
433,(719.6344101918975+0j)
434,(719.2725963774589+0j)
435,(717.581251268036+0j)
436,(717.405811647828+0j)
437,(715.9248264502075+0j)
438,(714.419660057048+0j)
439,(712.720630313151+0j)
440,(712.1193530900182+0j)
441,(711.023451939966+0j)
442,(709.9193860087752+0j)
443,(708.8318887153474+0j)
444,(706.7864833884156+0j)
445,(706.1279511130062+0j)
446,(704.8090306741814+0j)
447,(703.8962406836797+0j)
448,(703.3317454632582+0j)
449,(702.3916753634305+0j)
450,(701.3258270649601+0j)
451,(700.9510302317863+0j)
452,(699.7650361468859+0j)
453,(698.6962172976599+0j)
454,(697.4406095287205+0j)
455,(696.1931536153628+0j)
456,(695.7929088199666+0j)
457,(694.6702367423965+0j)
458,(692.3457864635222+0j)
459,(691.5040537649646+0j)
460,(691.1909963745012+0j)
461,(690.0230179352671+0j)
462,(689.3752649463287+0j)
463,(687.1940098243821+0j)
464,(686.5410477159437+0j)
465,(684.8897441571745+0j)
466,(684.1852646803738+0j)
467,(682.8654625563887+0j)
468,(682.0072621804459+0j)
469,(681.2901879372359+0j)
470,(681.1191499942751+0j)
471,(678.8467398683914+0j)
472,(678.1161245822692+0j)
473,(677.3728333606846+0j)
474,(676.8796182483879+0j)
475,(674.7237158102836+0j)
476,(673.8494469802686+0j)
477,(672.7665344552851+0j)
478,(672.3399764895652+0j)
479,(671.3951466029952+0j)
480,(670.6649855268164+0j)
481,(670.1264987379317+0j)
482,(669.5046089201212+0j)
483,(668.6375521584561+0j)
484,(667.2362596716375+0j)
485,(666.5362582284952+0j)
486,(665.6704083862448+0j)
487,(665.1033780102648+0j)
488,(662.9450302551656+0j)
489,(662.3817792281695+0j)
490,(661.6639099937622+0j)
491,(660.7446854327013+0j)
492,(659.6975783276233+0j)
493,(659.3105604122295+0j)
494,(658.1381384534264+0j)
495,(657.2965787652973+0j)
496,(655.336497979938+0j)
497,(654.2852345768413+0j)
498,(653.4419697957128+0j)
499,(652.50222266153+0j)
